,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
5717,,mnist,0.02,N15,MNIST_P5_N15,timeout,3600.0,1317.0,marabou,MNIST_P5_N15 N15 0.02,False,0,0
5694,,mnist,0.02,N49,MNIST_P66_N49,outofmemory,3600.0,1294.0,marabou,MNIST_P66_N49 N49 0.02,False,0,0
5677,,mnist,0.02,N5,MNIST_P0_N5,timeout,3600.0,1277.0,marabou,MNIST_P0_N5 N5 0.02,False,0,0
5672,,mnist,0.02,N18,MNIST_P32_N18,timeout,3600.0,1272.0,marabou,MNIST_P32_N18 N18 0.02,False,0,0
5670,,mnist,0.02,N49,MNIST_P24_N49,outofmemory,3600.0,1270.0,marabou,MNIST_P24_N49 N49 0.02,False,0,0
5660,,mnist,0.02,N18,MNIST_P68_N18,timeout,3600.0,1260.0,marabou,MNIST_P68_N18 N18 0.02,False,0,0
5658,,mnist,0.02,N49,MNIST_P17_N49,outofmemory,3600.0,1258.0,marabou,MNIST_P17_N49 N49 0.02,False,0,0
5651,,mnist,0.02,N18,MNIST_P15_N18,timeout,3600.0,1251.0,marabou,MNIST_P15_N18 N18 0.02,False,0,0
5649,,mnist,0.02,N14,MNIST_P53_N14,outofmemory,3600.0,1249.0,marabou,MNIST_P53_N14 N14 0.02,False,0,0
5648,,mnist,0.02,N49,MNIST_P6_N49,outofmemory,3600.0,1248.0,marabou,MNIST_P6_N49 N49 0.02,False,0,0
5647,,mnist,0.02,N48,MNIST_P48_N48,outofmemory,3600.0,1247.0,marabou,MNIST_P48_N48 N48 0.02,False,0,0
7938,,mnist,0.02,N49,MNIST_P44_N49,outofmemory,3600.0,3538.0,marabou,MNIST_P44_N49 N49 0.02,False,0,0
7961,,mnist,0.02,N49,MNIST_P11_N49,outofmemory,3600.0,3561.0,marabou,MNIST_P11_N49 N49 0.02,False,0,0
4252,,mnist,0.01,N49,MNIST_P61_N49,outofmemory,3600.0,4252.0,marabou,MNIST_P61_N49 N49 0.01,False,0,0
531,,mnist,0.01,N48,MNIST_P97_N48,outofmemory,3600.0,531.0,marabou,MNIST_P97_N48 N48 0.01,False,0,0
465,,mnist,0.01,N5,MNIST_P28_N5,timeout,3600.0,465.0,marabou,MNIST_P28_N5 N5 0.01,False,0,0
468,,mnist,0.01,N5,MNIST_P40_N5,timeout,3600.0,468.0,marabou,MNIST_P40_N5 N5 0.01,False,0,0
479,,mnist,0.01,N5,MNIST_P70_N5,timeout,3600.0,479.0,marabou,MNIST_P70_N5 N5 0.01,False,0,0
